"Symbol","ShortName","ListedDate","InstitutionID","CoFullName","IndustryCode","IndustryName","FirstSTDate","FirstSTReason","SurvivalTimeofFirstST"
"688037","芯源微","2019-12-16","10465177","沈阳芯源微电子设备股份有限公司","C35","专用设备制造业","","",""
"688038","中科通达","2021-07-13","10108502","武汉中科通达高新技术股份有限公司","I65","软件和信息技术服务业","","",""
"688039","当虹科技","2019-12-11","10376117","杭州当虹科技股份有限公司","I65","软件和信息技术服务业","","",""
"688041","海光信息","2022-08-12","10416206","海光信息技术股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688045","必易微","2022-05-26","10500422","深圳市必易微电子股份有限公司","I65","软件和信息技术服务业","","",""
"688046","药康生物","2022-04-25","10547024","江苏集萃药康生物科技股份有限公司","M73","研究和试验发展","","",""
"688047","龙芯中科","2022-06-24","10361062","龙芯中科技术股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688048","长光华芯","2022-04-01","10345801","苏州长光华芯光电技术股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688049","炬芯科技","2021-11-29","10523514","炬芯科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688050","爱博医疗","2020-07-29","10354202","爱博诺德(北京)医疗科技股份有限公司","C35","专用设备制造业","","",""
"688051","佳华科技","2020-03-20","10224611","罗克佳华科技集团股份有限公司","I65","软件和信息技术服务业","","",""
"688052","纳芯微","2022-04-22","10377730","苏州纳芯微电子股份有限公司","I65","软件和信息技术服务业","","",""
"688053","思科瑞","2022-07-08","10543776","成都思科瑞微电子股份有限公司","M74","专业技术服务业","","",""
"688055","龙腾光电","2020-08-17","10332797","昆山龙腾光电股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688056","莱伯泰科","2020-09-02","10313932","北京莱伯泰科仪器股份有限公司","C40","仪器仪表制造业","","",""
"688057","金达莱","2020-11-11","10133187","江西金达莱环保股份有限公司","N77","生态保护和环境治理业","","",""
"688058","宝兰德","2019-11-01","10375860","北京宝兰德软件股份有限公司","I65","软件和信息技术服务业","","",""
"688059","华锐精密","2021-02-08","10463871","株洲华锐精密工具股份有限公司","C33","金属制品业","","",""
"688060","云涌科技","2020-07-10","10381169","江苏云涌电子科技股份有限公司","I65","软件和信息技术服务业","","",""
"688061","灿瑞科技","2022-10-18","10370061","上海灿瑞科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688062","迈威生物","2022-01-18","10523191","迈威(上海)生物科技股份有限公司","C27","医药制造业","","",""
"688063","派能科技","2020-12-30","10377336","上海派能能源科技股份有限公司","C38","电气机械及器材制造业","","",""
"688065","凯赛生物","2020-08-12","10496182","上海凯赛生物技术股份有限公司","C28","化学纤维制造业","","",""
"688066","航天宏图","2019-07-22","10374728","航天宏图信息技术股份有限公司","I65","软件和信息技术服务业","","",""
"688067","爱威科技","2021-06-16","10142538","爱威科技股份有限公司","C35","专用设备制造业","","",""
"688068","热景生物","2019-09-30","10461158","北京热景生物技术股份有限公司","C27","医药制造业","","",""
