code,TA(t)/TA(t-1),NP(t)/NP(t-1),TL/TA,CA/CL,TL/TSE,NP/ASE,SR/ACA,MBC/AI,FA/TA,SE/FA,NP_SR,ST or Not
752,-0.1906936074848995,0.0649188406026483,-1.4579959387562904,2.6707825878402556,-0.1413580922240522,-0.0090439388790027,-0.9851639587298816,-0.1825150196647924,-0.2532537527193465,1.4579872194104044,0.0611761738144651,1
752,-0.197782314925692,0.0703033540441589,-1.5031459956785382,3.1552036119022784,-0.1427279542038714,0.0066797373677954,-0.7594873425701333,-0.1421835168792352,-0.2815130287061238,1.5031371697663358,0.0582301240803818,1
752,-0.2016665381809207,0.068836937532191,-1.5297533270754746,3.5042041315853925,-0.1435162912263171,0.0184003977626528,-0.5189484084533741,-0.0190144427025513,-0.3007378754314003,1.5297444397559152,0.0524534316623553,1
752,-0.1467794757204958,0.0785654316562475,-1.4951705807421058,3.2156025242854827,-0.1424889524158904,0.0313368240906323,-0.325544540747793,0.0291817868564092,-0.355264174922187,1.4951617733757727,0.0518170707671128,1
752,-0.1880269388269828,0.0732961316552476,-1.4738762272697037,3.066378580847707,-0.1418445988933621,-0.0161991162479331,-1.014133580653412,-0.1554446549503252,-0.3934473159718713,1.4738674722183662,0.0444451182796597,1
752,-0.2221508360788483,0.0550320154929081,-1.52279491993605,3.6296487874655714,-0.1433114507798683,-0.0129144973715301,-0.8598857771283619,-0.090500114294458,-0.4090549856241992,1.5227860494702663,0.0346884563709093,1
752,-0.1999485163564927,0.1340011835121446,-1.4882645278674518,3.291250194725387,-0.1422809760050727,-0.0025188901148282,-0.6463594109447756,-0.0005642868256981,-0.4521494086171873,1.4882557374951748,0.0361240494558581,1
752,-0.2692495329351992,0.0885982404546445,-1.610277753900064,4.428289523238103,-0.14582070971872,0.0126188589770429,-0.4016644803967182,0.0384036977664719,-0.4499407804181786,1.610268676466346,0.041458507604053,1
752,-0.1649656081924131,0.0699326551492958,-1.5598680666538591,2.5576230966835634,-0.1443921658327642,-0.0162636151759696,-0.9739047697401622,-0.1534830971467034,-0.5020429603171974,1.5598591064651823,0.0465029590513501,1
752,-0.1906214007705395,0.0761312782408015,-1.621214419129667,3.378689499999837,-0.1461246059280419,-0.0039467472009039,-0.68648561368718,-0.108131666872416,-0.5234510610852794,1.621205316427511,0.0491516053382902,1
752,-0.1268180540300029,0.0716800916618485,-1.556570824946072,2.66739162768116,-0.1442971002758228,0.0066292234676893,-0.4436511809264037,-0.0535078487768509,-0.5693191935057308,1.5565618753974635,0.0479432507247492,1
752,-0.0571062061454548,0.0730977349506403,-1.0338597637558482,0.2608134555682553,-0.1261338958891531,0.0199899600571721,-0.2136978549681066,-0.0049416817728131,-0.5982709717119691,1.033852042924814,0.0452741679080349,1
752,-0.5641840824554639,0.073963529658031,-1.515488237475353,1.743719512294499,-0.1430953502225163,-0.0174897153602154,-0.9390568026229268,-0.163661796977609,-0.4880186198487803,1.5154793854571464,0.0388451107693051,1
752,-0.5709491046249873,0.0811588680031796,-1.5561142749122916,2.0471980975547663,-0.1442839210802794,-0.0044554361122616,-0.5726194025577946,-0.1343515574631986,-0.5158379552818272,1.5561053258677495,0.0447582725025884,1
